iterations,trainLosses,validLosses,randomLosses
3629,1.8583264426772474,1.6483406588179048,4.158882618160592
7258,1.7271273571553392,1.5605720233791145,4.158882618160592
10887,1.6610464030546384,1.505772369241021,4.158882618160592
14516,1.6190477597480242,1.4735664867945,4.158882618160592
18145,1.5886896608617556,1.456693975029143,4.158882618160592
21774,1.4197277607225327,1.4451414510614287,4.158882618160592
25403,1.4188288240007014,1.436456736251088,4.158882618160592
29032,1.4169189519677223,1.4338318261873255,4.158882618160592
32661,1.41541175564382,1.4197058137054746,4.158882618160592
36290,1.4136888300561157,1.4164204803423086,4.158882618160592
39919,1.351387943568457,1.4152103959331959,4.158882618160592
43548,1.3554749983044885,1.410334051732399,4.158882618160592
47177,1.358386723104123,1.4066533048860088,4.158882618160592
50806,1.3606527391282215,1.405920623839821,4.158882618160592
54435,1.3622309765759235,1.395285450660904,4.158882618160592
58064,1.3107218454284226,1.4150044572358618,4.158882618160592
61693,1.3168653315274503,1.4022762750728166,4.158882618160592
65322,1.3209925350915568,1.4107929687764793,4.158882618160592
