iterations,validAccuracies,randomAccuracies
481,0.26289147317800954,0.015452450412287362
962,0.3129654051605856,0.015479092568170616
1443,0.3471606122367422,0.01605189891966058
1924,0.36680920220064206,0.015932009218185935
2405,0.377705843956893,0.01559898226964526
2888,0.3832340913026682,0.015945330296127564
3369,0.3880030372057707,0.01510610238580506
3850,0.39730114960902635,0.015892045984361055
4331,0.4012575097576896,0.015199349931396449
4812,0.4034821297739413,0.015452450412287362
5295,0.40665254632404857,0.015785477360828037
5776,0.40462774247692124,0.016025256763777324
6257,0.40398833073572316,0.015359202866695973
