iterations,iterations_proportions,trainLosses,validLosses,randomLosses
3629,0.2,1.542708390637448,1.3774727565068514,4.158882618160592
7258,0.4,1.4466287491734806,1.328911982742686,4.158882618160592
10887,0.6,1.3986345949914925,1.2911197968966743,4.158882618160592
14516,0.8,1.3685489380349796,1.2699307986112773,4.158882618160592
18145,1.0,1.3472119162909812,1.24796081172469,4.158882618160592
21774,1.2,1.2424353047421104,1.2380519080866061,4.158882618160592
25403,1.4,1.2351117616565013,1.2349325184151694,4.158882618160592
29032,1.6,1.2287286128388561,1.2305346953548382,4.158882618160592
32661,1.8,1.223258202181568,1.2267971059045586,4.158882618160592
36290,2.0,1.2185933372802924,1.220341778815502,4.158882618160592
39919,2.2,1.1889682801244803,1.2186521061352562,4.158882618160592
43548,2.4,1.184488652001468,1.2226812861311431,4.158882618160592
47177,2.6,1.1804575309002707,1.2235214999458663,4.158882618160592
50806,2.8,1.1770723354277712,1.2269685927231757,4.158882618160592
54435,3.0,1.174108633150178,1.219053756775652,4.158882618160592
58064,3.2,1.154182867656959,1.2191942438988919,4.158882618160592
61693,3.4,1.1505470118285475,1.2267000368378036,4.158882618160592
65322,3.6,1.147119586500811,1.2429052592111927,4.158882618160592
68951,3.8,1.14436044162727,1.2417397149967802,4.158882618160592
72580,4.0,1.1421324149541994,1.2266246234335632,4.158882618160592
76209,4.2,1.1248172868477408,1.233602647951596,4.158882618160592
